No.	単語	品詞	意味	用例	追加
691	meat	名	肉	eat meat	
692	medicine	名	薬	a new medicine	
693	meet	動	・・・に会う  《活用》met-met	meet her at a park	
694	meeting	名	会議	have a meeting	
695	member	名	一員、メンバー	a new member	
696	memo	名	メモ	take a memo	
697	memory	名	記憶	a good memory	
698	menu	名	メニュー	a lunch menu	
699	message	名	伝言、メッセージ	a message from him	
700	meter	名	メートル	three meters	
701	middle	名	中央、真ん中	in the middle of May	
702	milk	名	牛乳、ミルク	warm milk	
703	million	名	100万	one million	
704	mind	名	精神、心	in people's minds	
705	mine	代	私のもの	It's mine.	
706	minute	名	（時間の単位）分	for five minutes	
707	miss	動	①聞き逃す、見逃す、とりのがす　②・・・がいなくてさみしく思う	①miss the train 　②I miss him.	
708	mistake	名	誤り、間違い	a big mistake	
709	moment	名	瞬間、ちょっと、しばらく	Just a moment, please.	
710	Monday	名	月曜日	on Monday	
711	money	名	お金	have some money	
712	month	名	（暦）月	last month	
713	moon	名	（天体）月	the light of the moon	
714	more	副	（・・・より）もっと、いっそう	more interesting than …	
715	more	形	（数・量などが）もっと多くの、もっと多い　	More people will come tomorrow.	
716	morning	名	朝、午前中	in the morning	
717	most	副	最も、いちばん	the most important thing in my life	
718	most	形	たいていの、大部分の、最も多くの	Most people like his songs.	
719	mother	名	母、母親	become a mother	
720	mountain	名	山	at the top of the mountain	
721	mouth	名	口	open my mouth	
722	move	動	動く、移動する、・・・を動かす、移動させる	move the chair	
723	movie	名	映画	go to see a movie	
724	Mr.	名	～さん、～先生（男性に対する敬称）	Mr. Green / Mr. Kato	
725	Ms.	名	～さん、～先生（女性に対する敬称）	Ms. White / Ms. Hara	
726	much	形	(数えられない名詞の前で）たくさんの 《活用》more-most	don't have much rain	
727	much	副	とても 《活用》more-most	I like sports very much.	
728	museum	名	博物館、美術館	visit the museum	
729	music	名	音楽、曲	listen to music	
730	musician	名	音楽家、ミュージシャン	a famous musician	
731	must	助	（義務）・・・しなければならない	You must do the work.	
732	my	代	私の	my school	
733	name	名	名前	call his name	
734	name	動	・・・に（～と）名前をつける	name the cat Mike	
735	nation	名	国・国家	small nations	
736	national	形	国の・国家の	the national flower	
737	native	形	母語の、母語を話す	a native speaker of English	
738	natural	形	自然の	the natural world	
739	nature	名	自然	the beauties of nature	
740	near	前	・・・の近くに（で・の）	near the station	
741	necessary	形	必要な	necessary things 	
742	need	動	・・・を必要とする	need some help	
743	need	名	必要、必要性	need for help	
744	neighbor	名	隣人、近所の人	a neighbor's house	
745	neighborhood	名	近所、近隣、付近	in this neighborhood	
746	nervous	形	不安な、緊張する、あがる	get nervous	
747	never	副	これまで一度も・・・ない、決して・・・ない	I have never been to Okinawa.	
748	new	形	新しい	a new teacher	
749	New York 	名	ニューヨーク	go to New York	
750	news	名	ニュース、知らせ	good news	
751	newspaper	名	新聞	a morning newspaper	
752	next	形	次の	next Sunday	
753	next	副	次に	What will happen next?	
754	nice	形	良い、楽しい、親切な	a nice boy	
755	night	名	夜	last night	
756	nine	名・形	９（の）	nine players	
757	nineteen	名・形	１９（の）	I'm nineteen years old.	
758	nineteenth	名・形	１９番め（の）	in the nineteenth century	
759	ninety	名・形	９０（の）	ninety books	
760	ninth	名・形	９番め（の）	on the ninth floor	
761	no	副	いいえ	No, I don't.	
762	no	形	少しの（ひとつの・ひとりの）～も・・・ない	No one can answer it.	
763	No.	名	・・・番	No. 1	
764	noise	名	音・騒音・雑音	hear a noise	
765	noisy	形	やかましい、騒々しい、大きな音をたてる	a noisy car	
766	noon	名	正午、真昼	at noon	
767	normal	形	普通の、標準の	the normal temperature	
768	north	名	北	A cold wind blows from the north.	
769	northern	形	北の、北からの	a northern wind 	
770	nose	名	鼻	my nose	
771	not	副	・・・でない	don't have a car / not free	
772	note	名	メモ	take notes	
773	notebook	名	ノート・短い手紙	buy a new notebook	
774	nothing	代	（単数扱い）何も・・・ない	There is nothing to do.	
775	notice	動	・・・に気付く、わかる	notice a mistake	
776	November	名	１１月	in November	
777	now	副	今、さて	do it now	
778	number	名	数、数字、番号	the number of …	
779	nurse	名	看護師	become a nurse	
780	ocean	名	海、海洋	swim in the ocean	
781	o'clock	名	時間、時	at five o'clock	
782	October	名	１０月	I was born in October.	
783	of	前	①（帰属）…の ②（同格）～という・・・ ③（部分）～の中の・・・ 	①the name of the singer ②the town of Shibuya  ③one of my friends	
784	off	副	（くっついた状態から離れた状態への変化を表して）離れて、離されて、隔たって	Take off your jacket.	
785	office	名	会社、事務所、オフィス	work in an office 	
786	officer	名	事務員、係員	a police officer	
787	official	形	公式の	an official event	
788	often	副	しばしば	often go there	
789	oh	間	おお！、ああ！	Oh, dear!　/　Oh, my!	
790	oil	名	油、石油	use vegetable oil	
791	OK	形・間	大丈夫な、わかりました、それでは	Are you OK?	
792	old	形	①古い、年をとった　②・・・歳の	①an old temple　②I'm 14 years old.	
793	on	前	①（時・日）…に ②（場所）…の上に、…に（接触） ③（状態）…中で ④～について	①on Sunday  ②on the table / on the wall  ③on the way to school ④some information on the animals	
794	once	副	一度、一回、かつて	I once met your mother.	
795	one	名・形	１（の）	in one minute	
796	one	形	ある・・・	one day in September	
797	one	代	１つ、もの（名詞の繰り返しを避けるときに使う）	Which do you like better, this cap or that one?	
798	only	形	唯一の、・・・だけ	He is the only student in the room.	
799	only	副	（たった）・・・だけ、（ほんの）・・・だけ	only a few years ago	
800	open	動	…を開ける、開く	open the door	
801	open	形	開いた	Every window was open.	
802	opinion	名	意見	talk about my opinion	
803	opposite	形	反対の、反対側の	the opposite side of the road	
804	or	接	・・・かもしくは	you or I	
805	orange	名	オレンジ	eat an orange 	
806	orange	名・形	オレンジ色（の）	bright orange	
807	order	名	順番、命令、注文	in that order / He gave us that order. / May I take your order?	
808	order	動	(～に)・・・するよう命令する（to ・・・）	order him to do his job 	
809	other	形	ほかの	other questions	
810	our	代	私たちの	our English teacher	
811	ours	代	私たちのもの	bigger than ours	
812	out	副	外に（で）	get out of a car	
813	outside	前	・・・の外に（で）	outside the house	
814	over	前	①…の上の方 ②… じゅう、・・・のいたるところに、③・・・以上に、・・・より多く	①over the bridge ②all over the world ③for over 300 years	
815	over	副	済んで、終わって	The game is over.	
816	overseas	形	海外の、外国の	an overseas student	
817	overseas	副	海外へ、外国へ	go overseas	
818	own	形	自身の	his own bike	
819	P.E. (PE)	名	（physical educationの略）体育	I like PE.	
820	p.m.	副	午後	at 6:30 p.m.	
821	paint	動	（絵や文字など）を描く	paint a picture	
822	painting	名	絵画	a beautiful painting	
823	pair	名	（２つ１組になっているもの）の１対、１組	a pair of shoes	
824	paper	名	紙	a piece of paper	
825	pardon	動	（人・失礼な行為など）を許す	Pardon me.	
826	parent	名	親	my parents	
827	park	名	公園	play in a park	
828	part	名	①役割　②部分	①play a part  ②a part of the story	
829	party	名	パーティー	enjoy a party	
830	pass	動	通る、通り過ぎる、（時間が）過ぎる	pass through a room	
831	passage	名	(文章などの）一節	read the passage	
832	passport	名	パスポート	get a passport	
833	past	名	過去	experiences of the past	
834	patient	名	患者	take care of the patients	
835	pay	動	（お金）を支払う　 《活用》paid-paid	pay a lot of money	
836	peace	名	平和	bring peace to the world	
837	pen	名	ペン	write with a pen	
838	pencil	名	えんぴつ	use my pencil	
839	people	名	人々、国民	Japanese people	
840	percent	名	パーセント	50 percent	
841	perfect	形	完全な、申し分ない	Your answer is perfect.	
842	perhaps	副	おそらく	Perhaps he will come.	
843	person	名	人、個人	a kind person	
844	personal	形	個人的な	a personal computer	
845	pet	名	ペット	have a pet	
846	phone	名	電話	Can I use this phone?	
847	photo	名	写真	take a photo	
848	photographer	名	写真家、カメラマン	want to be a photographer	
849	phrase	名	表現、フレーズ	use the phrase	
850	pianist	名	ピアニスト	a good pianist	
851	piano	名	ピアノ	play the piano	
852	pick	動	・・・を取り上げる、摘む	pick … up	
853	picture	名	絵、写真	take a picture	
854	piece	名	１個、１つ、一枚、一片（a piece of ・・・）	a piece of paper / a piece of cake	
855	place	名	場所	in this place	
856	plan	名	計画、プラン	have some plans	
857	plan	動	（行動など）の計画（予定）を立てる	plan our party	
858	plane	名	飛行機	on a plane	
859	plant	名	植物、草花	animals and plants	
860	plastic	形	プラスチック製の、ビニール製の	a plastic bag	
861	play	動	遊ぶ、（楽器）を演奏する、（スポーツ）をする	play tennis	
862	player	名	選手、演奏者	a violin player	
863	please	間	どうぞ、どうか	Please come in.	
864	point	名	ポイント・点、要点、考え	the most difficult point / That's my point.	
865	point	動	指さす	point to the sun	
866	police	名	警察	the New York police	
867	poor	形	貧しい、かわいそうな	a poor little boy	
868	popular	形	人気のある	a popular musician	
869	possible	形	可能な	It is possible to …	
870	post office	名	郵便局	go to the post office	
871	postcard	名	はがき	send a postcard	
872	power	名	力、動力、電力	wind power	
873	practice	動	・・・を練習する	practice tennis	
874	prepare	動	・・・を準備する	prepare breakfast	
875	present	名	贈り物、プレゼント	a birthday present from her	
876	pretty	形	かわいい	a pretty doll	
877	price	名	価格、値段	complain about high prices	
878	probably	副	おそらく	It will probably rain soon.	
879	problem	名	問題、トラブル	a big problem	
880	produce	動	・・・を生み出す、産出する	produce enough food	
881	program	名	計画、（テレビやラジオの）番組	a TV program	
882	promise	名	約束	break our promise	
883	protect	動	・・・を保護する、守る	protect the environment	
884	purpose	名	目的	the purpose of the plan	
885	push	動	・・・を押す	push the door	
886	put	動	・・・を置く　《活用》put-put	put the coin on the desk	
887	question	名	質問、疑問、問題	answer the question	
888	quick	形	速い、すばやい、短時間内の	a quick answer	
889	quickly	副	速く、急いで、すばやく	move quickly	
890	quiet	形	静かな	a quiet place	
891	quietly	副	静かに	open the door quietly	
892	quite	副	全く、すっかり、完全に	It was quite dark.	
893	quiz	名	クイズ、試験	give the students a quiz in math class	
894	racket	名	（テニスや卓球の）ラケット	buy a new racket	
895	radio	名	ラジオ	listen to the radio	
896	rain	名	雨	stand in the rain	
897	rain	動	雨が降る	It began to rain. / It rained yesterday.	
898	rainy	形	雨の	a rainy day	
899	raise	動	・・・を上昇させる、上げる	raise my hand	
900	reach	動	・・・に到着する、到達する	reach the station	
901	read	動	・・・を読む　《活用》read-read（発音注意）	read a book	
902	ready	形	用意のできた	Are you ready?	
903	real	形	本当の	the real reason	
904	really	副	①本当に、とても　②（相手の発言に対して）本当ですか	①really interesting　②Oh, really?	
905	reason	名	理由	the real reason for …	
906	receive	動	・・・を受け取る	receive a letter	
907	recently	副	最近、近ごろ	I got a letter from her recently.	
908	recycle	動	・・・を再利用する	recycle newspapers	
909	red	名・形	赤（の）、赤色（の）	buy a red bag	
910	reduce	動	・・・を減らす	reduce waste of food	
911	refer to		・・・を示す、表す	The word refers to …	
912	refuse	動	・・・を断る	refuse his help	
913	regular	形	規則的な、規則正しい、いつもの	have regular meetings	
914	relax	動	・・・の緊張をほぐす、くつろぐ	relax and enjoy the movie	
915	remember	動	・・・を思い出す、覚えている	remember her name	
916	remove	動	・・・を取り除く	remove the books from the desk	
917	repair	動	・・・を直す、修繕する	repair the shoes	
918	report	名	報告、レポート	write a report about ...	
919	report	動	・・・を報告する	report the accident to us	
920	research	名	研究、調査	interesting research	
921	respect	名	尊敬	have a great respect for human life	
922	respect	動	・・・を尊敬する	respect her for her hard work	
923	respond	動	反応する、応答する	respond to the question	
924	responsible	形	責任のある	be responsible for the job	
925	rest	動	休憩する	rest for half an hour	
926	restaurant	名	レストラン、料理店	a French restaurant	
927	return	動	戻る、帰る	return home from school	
928	reuse	動	・・・を再利用する	reuse my brother's desk	
929	rice	名	米、ごはん	eat rice every day	
930	rich	形	金持ちの、豊かな	a rich person	
931	ride	動	・・・に乗る　　《活用》rode-ridden	ride a horse	
932	right	名	①右 ②権利	①on your right　②human rights	
933	right	形	①正しい ②右の	①the right answer　②the right side of the road	
934	river	名	川、河川	along the river	
935	road	名	道路、道	the road to Kyoto	
936	rock	名	岩、岩石	a large rock	
937	roof	名	屋根　《複数》roofs	on the roof	
938	room	名	部屋	a small room	
939	round	形	丸い、円形の	a round table	
940	rule	名	規則	break a rule	
941	run	動	走る　《活用》ran-run	run in a park	
942	sad	形	悲しい	look sad	
943	safe	形	安全な	a safe place	
944	same	形	同じ、同様の	We were born in the same hospital.	
945	Saturday	名	土曜日	on Saturday	
946	save	動	・・・を救う、助ける、（お金）をためる	save his life	
947	say	動	・・・と言う　《活用》said-said	say "Hello"	
948	scene	名	景色、光景	enjoy a beautiful scene	
949	school	名	学校	go to school	
950	science	名	科学	I study science.	
951	scientist	名	科学者	a great scientist	
952	sea	名	海	go to the sea	
953	season	名	季節	the four seasons	
954	seat	名	座席、いす	take a seat	
955	second	名・形	２番め（の）	on the second floor	
956	see	動	・・・を見る、・・・に会う、・・・が分かる　《活用》saw-seen	see my teacher	
957	sell	動	・・・を売る  《活用》sold-sold	sell our house	
958	send	動	・・・を送る　《活用》sent-sent	send a letter to her	
959	sense	名	感覚、意味	make sense（話・文などが）意味をなす・意味が通る	
960	sentence	名	文	a long sentence	
961	September	名	９月	in September	
962	serious	形	重大な、深刻な、本気の	a serious problem	
963	serve	動	（食事）を出す、給仕する	Breakfast is served here.	
964	set	動	・・・を置く、並べる、（食卓）の準備をする  《活用》set-set	set the table for dinner	
965	seven	名・形	７（の）	at seven o'clock	
966	seventeen	名・形	１７（の）	I'm seventeen years old.	
967	seventh	名・形	７番め（の）	on the seventh floor	
968	seventy	名・形	７０（の）	at the age of seventy	
969	several	形	いくつかの、いくらかの、数人（個）の	stay here for several days	
970	shall	助	（提案、申し出で疑問文）・・・しましょうか	Shall we …?	
971	shape	名	形	a different shape	
972	share	動	・・・を共有する、分かち合う	share this room with …	
973	she	代	彼女は、彼女が	She is a junior high school student.	
974	ship	名	船	get on a ship	
975	shirt	名	シャツ	wear a shirt	
976	shock	動	・・・に衝撃を与える、ショックを与える	The news shocked her.	
977	shoe	名	（通例 ～s) 靴	wear shoes	
978	shop	名	店	a flower shop	
979	shop	動	買い物をする	shop at the convenience store	
980	short	形	短い、短時間の	for a short time	
981	should	助	（義務）・・・すべきである	You should go now.	
982	show	動	(～に）・・・を見せる、示す 《活用》showed-shown	show her my picture / show her how to draw a picture	
983	shrine	名	神社	visit the shrine	
984	shy	形	内気な、恥ずかしがりの	He is very shy.	
985	sick	形	病気の	She is sick.	
986	side	名	側、面	a dark side of the history	
987	sightseeing	名	観光、見物	go sightseeing in Kyoto	
988	sign	名	標識、身振り・合図	a street sign	
989	similar	形	よく似た	be similar to …	
990	simple	形	単純な、わかりやすい	a simple question	
991	since	前	・・・以来、・・・から	since yesterday	
992	since	接	・・・以来、・・・から	since I saw him last year	
993	sing	動	歌う、・・・を歌う 《活用》sang-sung	sing a song	
994	singer	名	歌手	a famous singer	
995	sister	名	姉妹、姉、妹	brothers and sisters	
996	sit	動	すわる　《活用》sat-sat	sit on a chair	
997	situation	名	状況、立場	in a dangerous situation	
998	six	名・形	６（の）	at six o'clock	
999	sixteen	名・形	１６（の）	at the age of sixteen	
1000	sixteenth	名・形	１６番め（の）	in the sixteenth century	
1001	sixth	名・形	６番め（の）	on the sixth floor	
1002	sixty	名・形	６０（の）	He is sixty years old.	
1003	size	名	大きさ	the size of a desk	
1004	skate	動	スケートをする	Do you skate often?	
1005	ski	動	スキーをする	I often ski in winter.	
1006	skill	名	技術	an important skill	
1007	sky	名	空	the blue sky	
1008	sleep	動	眠る 《活用》slept-slept	sleep well	
1009	sleepy	形	眠い、眠そうな	feel sleepy	
1010	slowly	副	ゆっくりと	drive slowly	
1011	small	形	小さい	a small desk	
1012	smile	動	ほほえむ、にっこりする	smile at the boy	
1013	smile	名	ほほえみ、笑顔	a big smile on her face	
1014	snow	名・動	雪、雪が降る	We had a lot of snow. / It snowed a lot.	
1015	snowy	形	雪の降る	a snowy day	
1016	so	副	①そんなに　②そのように（前述のことばをさす）	①so happy 　② I think so.	
1017	so	接	だから、それで	It was raining, so I didn't go out.	
1018	soccer	名	サッカー	play soccer	
1019	soft	形	柔らかい	a soft sweater	
1020	solve	動	・・・を解決する	solve the problem	
1021	some	形・代	いくつかの、ある・・・、何人か、いくつか	some cars / some of them	
1022	someday	副	いつか、そのうち	go to Australia someday	
1023	someone	代	誰か	ask someone	
1024	something	代	何か、ある物（事）	something to drink	
1025	sometimes	副	ときどき	sometimes play tennis	
1026	son	名	息子	my son	
1027	song	名	歌	listen to a song	
1028	soon	副	もうすぐ、まもなく	come back soon	
1029	sorry	形	（・・・して）申し訳なく思って、（・・・して）かわいそうな(that・・・)	be sorry for her / I'm sorry that you couldn't come yesterday.	○
1030	sound	名	音	a beautiful sound	
1031	sound	動	・・・のように聞こえる	sound good	
1032	south	名	南、南部	in the south of …	
1033	space	名	宇宙、空間	live in space	
1034	speak	動	・・・を話す、・・・と話をする（to ・・・）　《活用》spoke-spoken	speak Japanese	
1035	special	形	特別の、特殊な	a special skill	
1036	speech	名	演説、講演、スピーチ	make a speech	
1037	spend	動	（金や時間）を費やす、（時間）を過ごす 《活用》spent-spent	spend a lot of money / spend a week	
1038	sport	名	スポーツ	play sports	
1039	spring	名	春	in spring	
1040	stadium	名	競技場、スタジアム	go to the stadium 	
1041	stage	名	舞台、ステージ	dance on the stage	
1042	stand	動	立つ、立ち上がる　《活用》stood-stood	stand by a door	
1043	star	名	星、（芸能の）スター	under the stars / a popular star	
1044	start	動	・・・を始める、・・・をし始める（to・・・、・・・ing)、 始まる	start to work	
1045	station	名	駅	go to the station	
1046	stay	動	とどまる、滞在する、宿泊する	stay at a hotel	
1047	stay	名	滞在	during my stay in London	
1048	step	名	一歩、ステップ	the next step	
1049	still	副	まだ、今でも	still remember it	
1050	stone	名	石	throw a stone	
1051	stop	動	止まる、・・・を止める・やめる、・・・するのをやめる（・・・ing）	stop talking	
1052	store	名	店	a toy store	
1053	story	名	話、物語	an interesting story	
1054	straight	形	まっすぐな	a straight line	
1055	straight	副	まっすぐに	go straight	
1056	strange	形	奇妙な、不思議な、未知の	a strange story	
1057	street	名	（街の）通り、街路	walk along the street	
1058	strong	形	（力が）強い、じょうぶな	a strong body	
1059	student	名	生徒、学生	a junior high school student	
1060	study	動	・・・を勉強する	study English	
1061	style	名	（服装などの）スタイル、（流行の）型	a Japanese style	
1062	subject	名	教科、話題	my favorite subject / change the subject 	
1063	such	形	そのような、そんな、あんな	such a book	
1064	suddenly	副	突然	Suddenly, the door opened.	
1065	suffer	動	・・・を患う（from）、・・・のために苦しむ	suffer from a headache	
1066	sugar	名	砂糖	pass the sugar	
1067	summer	名	夏	in summer	
1068	sun	名	太陽	under the sun	
1069	Sunday	名	日曜日	on Sunday	
1070	sunny	形	日の照っている、晴れ渡った	on a sunny day	
1071	supermarket	名	スーパーマーケット	go to the supermarket	
1072	support	動	・・・を支持する、支援する、支える	support his family	
1073	sure	副	（返事で）もちろん	"Can I come in?"  "Sure."	
1074	sure	形	（・・・を）確信して(that・・・)	I'm sure that you will win the game.	○
1075	surprised	形	驚いた、（・・・して）驚く（to・・・）、（・・・に）驚く（at・・・）　	be surprised to hear the news / be surprised at the news	
1076	survive	動	生き残る	Only two people survived.	
1077	sweater	名	セーター	wear the sweater	
1078	sweet	形	甘い	a sweet apple	
1079	swim	動	泳ぐ　《活用》swam-swum	swim in the sea	
1080	symbol	名	象徴、シンボル	a symbol of peace	
1081	system	名	装置、方式、システム	introduce a new system	
1082	table	名	テーブル	sit around a table	
1083	table tennis	名	卓球	play table tennis	
1084	take	動	①（時間などが）かかる、②・・・を持っていく、連れて行く、③・・・を買う・選ぶ、④（乗り物に）乗る、⑤（写真）をとる 《活用》took-taken	①take time ②take him to … ③I'll take it. ④take a bus ⑤take a picture	
1085	talk	動	話す	talk about music	
1086	tall	形	①高い　②身長（高さ）が・・・で	①a tall building 　②The child is one meter tall.	
1087	taste	名	味	a strange taste	
1088	taste	動	・・・な味がする	taste delicious	
1089	taxi	名	タクシー	take a taxi	
1090	tea	名	茶・紅茶	a cup of tea	
1091	teach	動	（～に）・・・を教える  《活用》taught-taught	teach them English / teach them how to use the computer	
1092	teacher	名	先生、教師	She is our teacher.	
1093	team	名	チーム	join the baseball team	
1094	technology	名	科学技術	new technology	
1095	tell	動	①（～に）・・・を言う、教える  ②（～に）・・・するように言う（to ・・・） 《活用》told-told 	①tell him the story 　②tell him to do his homework	
1096	temperature	名	温度、気温	the temperature in Osaka	
1097	temple	名	寺	an old temple	
1098	ten	名・形	１０（の）	There are ten students in the room.	
1099	tennis	名	テニス	play tennis	
1100	tenth	名・形	１０番め（の）	live on the tenth floor	
1101	terrible	形	恐ろしい、ひどい	The news is so terrible.	
1102	test	名	試験	give the students a test in math class	
1103	textbook	名	教科書	read the textbook	
1104	than	接	・・・よりも	older than …	
1105	thank	動	・・・に感謝する	Thank you for your letter.	
1106	that	代・形	あれは（が）、あれを（に）、あの・・・ 《複数》those	That is my book. / That book is mine.	
1107	that	関・代	・・・する（である）＜人・もの＞【主格】	a shop that sells a lot of CDs	
1108	that	関・代	～が・・・する＜人・もの＞【目的格】	the book that he wrote	
1109	the	冠	その・・・	the book / the temple	
1110	theater	名	劇場	go to the theater	
1111	their	代	彼らの・彼女らの、それらの	clean their rooms	
1112	theirs	代	彼らのもの・彼女らのもの、それらのもの	The house is theirs.	
1113	them	代	彼らを（に）・彼女らを（に）、それらを（に）	I told them the story.	
1114	then	副	その時・その（あの）頃・当時、それから、そうすると	Just then it began to rain.	
1115	then	名	その時	since then	
1116	there	副	そこに（へ、で）	There is a book on the desk. / go there	
1117	these	代・形	これらは（が）、これらを（に）、これらの	These are my books. / These books are mine.	
1118	they	代	彼らは（が）・彼女らは（が）、それらは（が）	They live in Osaka.	
1119	thing	名	もの	an interesting thing	
1120	think	動	思う、考える  《活用》 thought-thought	I think that …	
1121	third	名・形	３番め（の）	on the third floor	
1122	thirsty	形	のどが渇いた	feel thirsty	
1123	thirteen	名・形	１３（の）	He is thirteen years old.	
1124	thirteenth	名・形	１３番め（の）	the thirteenth street	
1125	thirtieth	名・形	３０番め（の）	his thirtieth birthday	
1126	thirty	名・形	３０（の）	She is thirty years old.	
1127	this	代・形	これは（が）、これを（に）、この・・・  《複数》these	Is this your book? / Is this book yours?	
1128	those	代・形	あれらは（が）・それらは（が）、あれらを（に）・それらを（に）、あれらの・それらの	Are those your books? / Are those books yours?	
1129	though	接	・・・だけれども、・・・にもかかわらず	We went out, though it began to rain.	
1130	thought	名	考え	my thought	
1131	thousand	名・形	1,000（の）	three thousand people	
1132	three	名・形	３（の）	three children	
1133	through	前	①・・・を通って　②（手段）・・・を通じて	①drive through the town 　②through the Internet	
1134	throw	動	・・・を投げる  《活用》threw-thrown	throw a ball to her	
1135	Thursday	名	木曜日	on Thursday	
1136	ticket	名	切符、チケット	buy a ticket to Tokyo	
1137	tiger	名	トラ	see a big tiger	
1138	time	名	①時間・時刻　②回　③（複数形で）時代	①have a good time　②several times　③in old times	
1139	tired	形	疲れた	I'm very tired.	
1140	title	名	題名、タイトル	the title of the movie	
1141	to	前	（方向・到達点）・・・へ・まで	to the station	
1142	today	名・副	今日（は）・本日（は）、現代では、	How are you today?	
1143	together	副	一緒に	Let's go swimming together.	
1144	tomorrow	名・副	明日（は）	It will rain tomorrow.	
1145	tonight	名・副	今晩（は）	I'll stay at home tonight.	
1146	too	副	①・・・もまた　②あまりに・・・すぎる	①Me, too.  ②I'm too tired to walk.	
1147	tooth	名	歯  《複数》teeth	lose a tooth	
1148	toothache	名	歯痛	have a toothache	
1149	top	名	頂上、てっぺん	the top of the mountain	
1150	topic	名	話題・トピック、主題・テーマ	change the topic	
1151	total	名・形	総計（の）、全体（の）、全部（の）	a total number	
1152	touch	動	さわる	Don't touch the picture.	
1153	tour	名	（観光）旅行	a bus tour	
1154	town	名	町	I was born in a small town.	
1155	toy	名	おもちゃ	play with toys	
1156	tradition	名	伝統	have a long tradition	
1157	traditional	形	伝統的な	traditional Japanese music	
1158	train	名	電車	on a train	
1159	trash	名	ゴミ・クズ	pick up trash	
1160	travel	名	旅行	space travel	
1161	travel	動	旅行する	travel abroad	
1162	tree	名	木	cut down the trees	
1163	trip	名	旅行	my trip to New York	
1164	trouble	名	困ること、迷惑	have a lot of trouble	
1165	true	形	本当の、真実の	a true story	
1166	try	動	試す、・・・しようとする（to ・・・）	try to open the door	
1167	T-shirt	名	Tシャツ	buy a blue T-shirt	
1168	Tuesday	名	火曜日	on Tuesday	
1169	turn	動	①（右や左に）曲がる、（方向を）変える　②回す	①Turn left.　②turn the key	
1170	TV	名	テレビ	watch TV	
1171	twelfth	名・形	１２番め（の）	December is the twelfth month of the year.	
1172	twelve	名・形	１２（の）	for twelve hours 	
1173	twentieth	名・形	２０番め（の）	in the twentieth century	
1174	twenty	名・形	２０（の）	for twenty minutes	
1175	twice	副	２度・２回	I have visited Osaka twice.	
1176	two	名・形	２（の）	two apples on the table	
1177	type	名	型、タイプ	this type of bike	
1178	U.K.	名	英国、連合王国	visit the U.K.	
1179	U.S.	名	アメリカ合衆国	live in the U.S.	
1180	umbrella	名	かさ	take an umbrella	
1181	uncle	名	おじ	my uncle living in Hokkaido	
1182	under	前	・・・の下に	under the bed	
1183	understand	動	・・・を理解する　《活用》understood-understood	understand Japanese	
1184	underline	動	・・・に下線を引く	underline the word	
1185	uniform	名	制服、ユニフォーム	wear a school uniform	
1186	United States	名	アメリカ合衆国	go to the United States	
1187	university	名	（四年制の）大学	go to university	
1188	until	前	・・・まで	until 11:00 p.m.	
1189	until	接	・・・するまで（ずっと）	until he finished his homework	
1190	up	副	①上へ、上がって　②起きて、立って　③（人が）成長して	①look up  ②get up  ③grow up	
1191	us	代	私たちを（に）	tell us an interesting story	
1192	use	動	…を使う	use his dictionary	
1193	useful	形	便利な、役に立つ	useful advice	
1194	usually	副	普通、たいてい	usually get up at seven	
1195	vacation	名	休暇	during the vacation	
1196	various	形	さまざまな、いろいろな	in various ways	
1197	vegetable	名	野菜	grow vegetables	
1198	very	副	とても、非常に	very happy	
1199	video	名	ビデオ	watch a video	
1200	view	名	①眺め、見晴し　②意見、考え、見方	①the view from the window　②our view of nature	
1201	village	名	村	visit the village	
1202	violin	名	バイオリン	play the violin	
1203	visit	動	・・・を訪ねる、・・・を訪れる	visit London	
1204	visitor	名	訪問者、観光客	a visitor from Australia	
1205	voice	名	声、話す声	in a loud voice	
1206	volleyball	名	バレーボール	play volleyball	
1207	volunteer	名	ボランティア	volunteers to help children	
1208	wait	動	待つ	wait for her	
1209	wake	動	起きる、・・・を起こす	wake up	
1210	walk	動	歩く	walk into the room	
1211	walk	名	散歩	take a walk	
1212	wall	名	壁	a picture on the wall	
1213	want	動	・・・が欲しい、・・・したいと思う（to ・・・）	want to know his address	
1214	war	名	戦争	during the war	
1215	warm	形	暖かい	warm weather	
1216	wash	動	・・・を洗う、洗濯する	wash my hands	
1217	waste	名	浪費、無駄使い	a waste of time	
1218	waste	動	・・・を浪費する・無駄に使う	Don't waste time.	
1219	watch	名	腕時計	get a new watch	
1220	watch	動	・・・を見る	watch TV	
1221	water	名	水	drink a lot of water	
1222	wave	名	波	a big wave	
1223	wave	動	（手などを）振る	wave my hands	
1224	way	名	①（～への）道のり　②方法　③点（観点）	①the way to the station　②the best way　③in many ways	
1225	we	代	私たちは（が）	Can we go and see a movie?	
1226	weak	形	弱い	a weak voice	
1227	wear	動	・・・を着ている、身に付けている、はいている・かぶっている 《活用》wore-worn	wear the black jacket	
1228	weather	名	天気	good weather	
1229	Wednesday	名	水曜日	on Wednesday	
1230	week	名	週、１週間	last week	
1231	weekend	名	週末	this weekend	
1232	welcome	形	歓迎される、喜んで迎えられる	You are welcome.	
1233	welcome	間	ようこそ、いらっしゃい	Welcome to our party.	
1234	well	形	健康な 《活用》better-best	feel very well	
1235	well	副	上手に 《活用》better-best	play the piano very well	
