No.	単語	品詞	意味	用例	追加
282	deep	形	①（水、池などが）深い　②深さが・・・の	①This lake is deep.  ②This lake is 30 meters deep.	
283	delicious	形	（食べ物などが）実においしい	the most delicious food in the world	
284	department store	名	百貨店	enjoy shopping in the department store	
285	depend	動	(depend on・・・）・・・しだいである	depend on you	
286	desk	名	机	on a desk	
287	destroy	動	・・・を破壊する・壊す	destroy the building	
288	diary	名	日記	write a diary	
289	dictionary	名	辞書	buy a new dictionary	
290	die	動	死ぬ	My bird died.	
291	difference	名	違い、相違点	the difference between A and B	
292	different	形	異なる、違う	a different culture	
293	difficult	形	難しい、困難な	a difficult question	
294	difficulty	名	むずかしさ、困難、苦労	find many difficulties	
295	dinner	名	ディナー、（通例）夕食	after dinner	
296	disagree	動	反対する	disagree with him	
297	disappear	動	見えなくなる、（視界から）消える	disappear into the dark room	
298	disaster	名	災害、惨事	a natural disaster	
299	discover	動	・・・を発見する・見つける	discover new land	
300	dish	名	皿、料理	my favorite dish	
301	distance	名	距離	a short distance	
302	do	動	・・・をする　《活用》did-done	do my homework	
303	doctor	名	医者	see the doctor	
304	dog	名	犬	have a dog	
305	doll	名	人形	play with dolls	
306	dollar	名	ドル	five dollars	
307	door	名	ドア	open a door	
308	down	副	下へ、低い方へ	look down into the box	
309	drama	名	ドラマ、劇、演劇	an exciting drama	
310	draw	動	（絵や地図など）を描く、（線や円など）を引く　《活用》drew-drawn	draw a picture	
311	dream	名	（睡眠中の）夢、（将来の）夢、望み	My dream is to…	
312	dress	名	ドレス、衣服	a nice summer dress	
313	drink	動	・・・を飲む、酒を飲む　《活用》drank-drunk	drink coffee	
314	drink	名	飲み物	a cold drink	
315	drive	動	・・・を運転する、・・・を車で送る、車を運転する 《活用》drove-driven	drive a car	
316	driver	名	運転手、ドライバー	a taxi driver	
317	drop	動	・・・を落とす	drop a pencil	
318	dry	形	乾いた	in the dry season	
319	during	前	（特定の期間）の間じゅう、・・・の間をとおして	during the vacation	
320	DVD	名	DVD	watch the DVD 	
321	each	形	それぞれの・めいめいの	each student	
